ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
1,Mara,2/4/2020,14,Serengeti,christian,other,government leader,reconciliation with parents,Other,Heathy,1
2,Mara,11/20/2019,18,Butiam,muslim,fgm,school teacher,short term protection,Counselling,Heathy,1
3,Mara,12/9/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
4,Mara,12/29/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
5,Mara,12/21/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
6,Mara,12/22/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
7,Mara,12/26/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
8,Mara,12/21/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
9,Mara,12/23/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
10,Mara,12/5/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
11,Mara,12/25/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
12,Mara,12/28/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
13,Mara,12/29/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
14,Mara,12/25/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
15,Mara,12/10/2018,12,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
16,Mara,12/23/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
17,Mara,12/24/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
18,Mara,12/11/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
19,Mara,12/5/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
20,Mara,12/12/2018,12,Serengeti,christian,violence,police,short term protection,Counselling,UTI,1
21,Mara,12/14/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
22,Mara,12/6/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
23,Mara,12/9/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
24,Mara,12/12/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
25,Mara,12/20/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
27,Mara,12/15/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
28,Mara,12/12/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
